Rank,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Age,Year_Event,YearGroup,AgeGroup,Time,Time_Sec
1,Joshua CHEPTEGEI,12/09/1996,UGA,1,"Estadio de Atletismo del Turia, Valencia (ESP)",07/10/2020,1306,24.0,2020,2020+,20-25,26:11:00,1571.0
2,Kenenisa BEKELE,13/06/1982,ETH,1,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1295,23.0,2005,2000-2009,20-25,26:17:53,1577.53
3,Haile GEBRSELASSIE,18/04/1973,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",01/06/1998,1287,25.0,1998,1990-1999,20-25,26:22:75,1582.75
4,Paul TERGAT,17/06/1969,KEN,1,Bruxelles (BEL),22/08/1997,1278,28.0,1997,1990-1999,26-30,26:27:85,1587.85
5,Nicholas KEMBOI,25/11/1983,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",05/09/2003,1275,19.0,2003,2000-2009,0-19,26:30:03,1590.03
6,Abebe DINKESA,06/03/1984,ETH,2,Hengelo (NED),29/05/2005,1273,21.0,2005,2000-2009,20-25,26:30:74,1590.74
7,Micah Kemboi KOGO,30/06/1986,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1266,20.0,2006,2000-2009,20-25,26:35:63,1595.63
8,Paul KOECH,25/06/1969,KEN,2,Bruxelles (BEL),22/08/1997,1264,28.0,1997,1990-1999,26-30,26:36:26,1596.26
9,Zersenay TADESE,01/01/1982,ERI,2,"Boudewijnstadion, Bruxelles (BEL)",25/08/2006,1263,25.0,2006,2000-2009,20-25,26:37:25,1597.25
10,Salah HISSOU,16/01/1972,MAR,1,Bruxelles (BEL),23/08/1996,1262,25.0,1996,1990-1999,20-25,26:38:08,1598.08
11,Ahmad Hassan ABDULLAH,04/04/1981,QAT,3,"Boudewijnstadion, Bruxelles (BEL)",05/09/2003,1260,22.0,2003,2000-2009,20-25,26:38:76,1598.76
12,Sileshi SIHINE,29/01/1983,ETH,1,"Blankers-Koen Stadion, Hengelo (NED)",31/05/2004,1259,21.0,2004,2000-2009,20-25,26:39:69,1599.69
13,Boniface KIPROP,12/10/1985,UGA,2,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1259,20.0,2005,2000-2009,20-25,26:39:77,1599.77
14,Samuel Kamau WANJIRU,10/11/1986,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1256,19.0,2005,2000-2009,0-19,26:41:75,1601.75
15,Lucas Kimeli ROTICH,16/04/1990,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",16/09/2011,1252,21.0,2011,2010-2019,20-25,26:43:98,1603.98
16,Galen RUPP,08/05/1986,USA,1,"Hayward Field, Eugene, OR (USA)",30/05/2014,1251,28.0,2014,2010-2019,26-30,26:44:36,1604.36
17,Mo FARAH,23/03/1983,GBR,1,"Hayward Field, Eugene, OR (USA)",03/06/2011,1248,28.0,2011,2010-2019,26-30,26:46:57,1606.57
18,Imane MERGA,15/10/1988,ETH,2,"Hayward Field, Eugene, OR (USA)",03/06/2011,1245,22.0,2011,2010-2019,20-25,26:48:35,1608.35
19,Hagos GEBRHIWET,11/05/1994,ETH,1,Hengelo (NED),17/07/2019,1244,25.0,2019,2010-2019,20-25,26:48:95,1608.95
20,Josphat Kipkoech BETT,12/06/1990,KEN,3,"Hayward Field, Eugene, OR (USA)",03/06/2011,1244,20.0,2011,2010-2019,20-25,26:48:99,1608.99
21,Eliud KIPCHOGE,05/11/1984,KEN,2,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1244,23.0,2007,2000-2009,20-25,26:49:02,1609.02
22,Moses Ndiema MASAI,01/06/1986,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",14/09/2007,1244,22.0,2007,2000-2009,20-25,26:49:20,1609.2
23,Yomif KEJELCHA,01/08/1997,ETH,2f,"Khalifa International Stadium, Doha (QAT)",06/10/2019,1243,22.0,2019,2010-2019,20-25,26:49:34,1609.34
24,Sammy KIPKETER,29/09/1981,KEN,1,Bruxelles (BEL),30/08/2002,1243,21.0,2002,2000-2009,20-25,26:49:38,1609.38
25,Paul Kipngetich TANUI,22/12/1990,KEN,2,"Hayward Field, Eugene, OR (USA)",30/05/2014,1243,23.0,2014,2010-2019,20-25,26:49:41,1609.41
26,Selemon BAREGA,20/01/2000,ETH,2,Hengelo (NED),17/07/2019,1243,19.0,2019,2010-2019,0-19,26:49:46,1609.46
27,Moses MOSOP,07/07/1985,KEN,3,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1243,22.0,2007,2000-2009,20-25,26:49:55,1609.55
28,Assefa MEZGEBU,19/06/1978,ETH,2,Bruxelles (BEL),30/08/2002,1242,24.0,2002,2000-2009,20-25,26:49:90,1609.9
29,Rhonex KIPRUTO,12/10/1999,KEN,1,"Olympiastadion, Stockholm (SWE)",30/05/2019,1242,19.0,2019,2010-2019,0-19,26:50:16,1610.16
30,Richard LIMO,18/11/1980,KEN,3,Bruxelles (BEL),30/08/2002,1242,22.0,2002,2000-2009,20-25,26:50:20,1610.2
31,Dejen GEBREMESKEL,24/11/1989,ETH,1,Sollentuna (SWE),27/06/2013,1241,24.0,2013,2010-2019,20-25,26:51:02,1611.02
32,Yigrem DEMELASH,26/01/1994,ETH,1,Hengelo (NED),29/06/2016,1240,22.0,2016,2010-2019,20-25,26:51:11,1611.11
33,Emmanuel Kipkemei BETT,29/03/1985,KEN,1,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1240,27.0,2012,2010-2019,26-30,26:51:16,1611.16
34,Charles Waweru KAMATHI,18/05/1978,KEN,1,Bruxelles (BEL),03/09/1999,1240,21.0,1999,1990-1999,20-25,26:51:49,1611.49
35,Vincent Kiprop CHEPKOK,05/07/1988,KEN,2,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1240,24.0,2012,2010-2019,20-25,26:51:68,1611.68
36,Bedan KAROKI,21/08/1990,KEN,4,"Olympic Stadium, London (GBR)",04/08/2017,1239,27.0,2017,2010-2019,26-30,26:52:12,1612.12
37,William SIGEI,11/10/1969,KEN,1,"Bislett Stadion, Oslo (NOR)",22/07/1994,1239,25.0,1994,1990-1999,20-25,26:52:23,1612.23
38,Mohammed MOURHIT,10/10/1970,BEL,2,Bruxelles (BEL),03/09/1999,1239,28.0,1999,1990-1999,26-30,26:52:30,1612.3
39,Gebregziabher GEBREMARIAM,12/10/1984,ETH,4,"Blankers-Koen Stadion, Hengelo (NED)",26/05/2007,1238,22.0,2007,2000-2009,20-25,26:52:33,1612.33
40,Kenneth Kiprop KIPKEMOI,02/08/1984,KEN,3,"Boudewijnstadion, Bruxelles (BEL)",07/09/2012,1238,28.0,2012,2010-2019,26-30,26:52:65,1612.65
40,Geoffrey KAMWOROR,28/11/1992,KEN,3,"Hayward Field, Eugene, OR (USA)",29/05/2015,1238,22.0,2015,2010-2019,20-25,26:52:65,1612.65
42,Abera KUMA,31/08/1990,ETH,2,Sollentuna (SWE),27/06/2013,1238,23.0,2013,2010-2019,20-25,26:52:85,1612.85
43,John Cheruiyot KORIR,13/12/1981,KEN,5,Bruxelles (BEL),30/08/2002,1238,21.0,2002,2000-2009,20-25,26:52:87,1612.87
44,Mark Kipkinyor BETT,22/12/1976,KEN,6,"Boudewijnstadion, Bruxelles (BEL)",26/08/2005,1237,29.0,2005,2000-2009,26-30,26:52:93,1612.93
45,Andamlak BELIHU,20/11/1998,ETH,4,Hengelo (NED),17/07/2019,1237,21.0,2019,2010-2019,20-25,26:53:15,1613.15
46,Mathew Kipkoech KISORIO,16/05/1989,KEN,7,"Hayward Field, Eugene, OR (USA)",03/06/2011,1235,22.0,2011,2010-2019,20-25,26:54:25,1614.25
47,Jemal Yimer MEKONNEN,11/09/1996,ETH,5,Hengelo (NED),17/07/2019,1235,23.0,2019,2010-2019,20-25,26:54:39,1614.39
48,Stephen SAMBU,07/07/1988,KEN,4,"Hayward Field, Eugene, OR (USA)",30/05/2014,1235,26.0,2014,2010-2019,26-30,26:54:61,1614.61
49,Mark Kosgei KIPTOO,21/06/1976,KEN,8,"Hayward Field, Eugene, OR (USA)",03/06/2011,1235,35.0,2011,2010-2019,31-35,26:54:64,1614.64
